投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
515031,奇瑞汽车,艾瑞泽5,2019款 Pro 1.5L CVT青春版 改款 国VI,奇瑞艾瑞泽5方向盘不正变速箱故障灯亮,变速器故障灯亮变速器无法加速转向系统异响转向系统方向盘不正,2020/8/28,信息审核
515030,一汽-大众,探影,2020款 1.5L 自动 尚,一汽大众探影刹车异响 车内密封条热熔化,制动系统异响车身附件及电器门窗异响车身附件及电器密封条损坏,2020/8/28,信息审核
515025,上汽大众,朗逸,2019款 280TSI DSG 豪华版 国VI,上汽大众朗逸厂家销售活动未兑现欺骗消费者,承诺不兑现销售承诺不兑现,2020/8/28,信息审核
515022,华晨中华,中华V7,2018款 280T DCT 豪华型 5座,中华V7发动机有漏油的现象要求处理,发动机漏油服务态度故意拖延配件争议无零配件配件争议未按时到货,2020/8/28,信息审核
515021,东风日产,奇骏,2014款 2.5L XL CVT 四驱 领先版,东风日产奇骏变速箱无法加速希望厂家处理,变速器无法加速,2020/8/28,处理反馈
515011,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫油门反应延迟导致车辆事故,发动机电子油门延迟服务态度不解决问题,2020/8/28,信息审核
515008,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车内隔音棉处无覆盖物,其他疑似设计缺陷,2020/8/28,处理反馈
515007,华晨宝马,宝马X1,2020款 xDrive25Li 尊享型,华晨宝马X1发动机怠速高低速换挡顿挫,发动机怠速不稳变速器顿挫,2020/8/28,信息审核
515003,SWM斯威汽车,SWM斯威X7,2018款 1.5T 自动 智享互联版 7座,SWM斯威X7变速箱挂挡时顿挫 发动机抖动,发动机抖动变速器顿挫,2020/8/28,厂家受理
515001,林肯（进口）,大陆,2019款 2.0T 两驱 尊享版 国VI,林肯大陆后排座椅靠背变硬且向内收缩,车身附件及电器座椅故障服务态度否认质量问题,2020/8/28,信息审核
514997,众泰汽车,大迈X5,2017款 1.6L 手动 舒适型 超值版,众泰大迈X5车窗升降故障希望厂家处理,车身附件及电器车窗升降故障,2020/8/28,信息审核
514996,上汽通用五菱,五菱荣光小卡,2020款 1.5L 基本型 国VI 单排 L3C,上汽通用五菱荣光小卡漆面多处开裂,车身附件及电器漆面起泡开裂,2020/8/28,处理反馈
514993,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉智行互联被其他人注册过,销售欺诈出售问题车,2020/8/28,信息审核
514990,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳发动机启动时异响故障报警,发动机异响发动机故障灯亮,2020/8/28,信息审核
514987,吉利汽车,帝豪GL,2019款 1.4T CVT 精英智享版,吉利帝豪GL车门生锈严重希望厂家处理,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2020/8/28,信息审核
514985,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸变速箱异响严重希望处理,变速器异响,2020/8/28,信息审核
514984,一汽-大众,速腾,2015款 1.6L  自动 舒适型,一汽大众速腾发动机漏油 球笼套漏油,发动机漏油转向系统异响前后桥及悬挂系统球笼套漏油车身附件及电器车窗升降故障人员技术修出新问题,2020/8/28,处理反馈
514980,吉利汽车,远景S1,2018款 1.5L 手动 锋驰型,吉利远景S1车门生锈希望厂家处理问题,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2020/8/28,信息审核
514979,上汽通用五菱,五菱荣光,2017款 1.2L 基本型 加长,五菱荣光车身生锈严重要求尽快解决,车身附件及电器车身生锈,2020/8/28,处理反馈
514976,一汽-大众,高尔夫,2020款 280TSI DSG 舒适型,一汽大众高尔夫变速箱机电元件故障,变速器故障灯亮变速器滑阀箱故障,2020/8/28,处理反馈
514973,奇瑞汽车,艾瑞泽7,2016款 1.6L 手动 智效致臻版,奇瑞艾瑞泽7车门处有严重的生锈的现象,车身附件及电器车身生锈,2020/8/28,处理反馈
514972,奔驰（进口）,奔驰C级（进口）,2020款 C 260 轿跑车,进口奔驰C级发动机故障灯亮 车身严重抖动,发动机故障灯亮车身附件及电器车身共振,2020/8/28,信息审核
514964,东风标致,标致508,2019款 508L 400THP PureTech 驾控版 国VI,东风标致508车身B柱方向机天窗异响,转向系统异响车身附件及电器车身异响车身附件及电器天窗异响车身附件及电器座椅故障,2020/8/28,处理反馈
514962,长安凯程,长安睿行S50,2017款 1.5T 手动 旗舰型 5MT,长安凯程睿行S50车门生锈严重4S店不保修,车身附件及电器车身生锈服务态度不予索赔,2020/8/28,信息审核
514959,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动变速箱顿挫 右前车窗升降慢,变速器顿挫变速器抖动车身附件及电器门窗异响车身附件及电器车窗升降故障,2020/8/28,信息审核
514957,上汽斯柯达,昊锐,2009款 1.8TSI 自动 尊雅版,斯柯达昊锐车内异味希望厂家解决处理,车身附件及电器车内异味,2020/8/28,信息审核
514955,广汽三菱,劲炫ASX,2013款 2.0L 自动 两驱 精英版 5座,广汽三菱劲客ASX购车四年车内异味严重,车身附件及电器车内异味,2020/8/28,厂家受理
514954,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障无法挂挡,变速器滑阀箱故障,2020/8/28,处理反馈
514952,奔驰（进口）,奔驰GLE,2017款 320 4MATIC 动感型,进口奔驰GLE空调出风口拔片损坏无法使用,车身附件及电器部件开裂,2020/8/28,信息审核
514944,野马汽车,野马T70,2016款 1.8T CVT 旗舰型 升级版,野马T70踩油门时发动机空转而且有异响,变速器无法加速变速器滑阀箱故障,2020/8/28,处理反馈
514943,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷车启动发动机VTC阀异响,发动机异响,2020/8/28,处理反馈
514941,奇瑞汽车,捷途X70,2018款 1.5T 自动 悦行版,捷途X70变速箱顿挫 副驾驶车门内侧生锈,变速器顿挫车身附件及电器车身生锈,2020/8/28,用户评分
514938,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 豪华版,奇瑞艾瑞泽5减震器异响天窗玻璃异响,前后桥及悬挂系统减震器异响车身附件及电器天窗异响,2020/8/28,处理反馈
514933,沃尔沃亚太,沃尔沃S90,2020款 T5 智逸豪华版,亚太沃尔沃S90高速行驶方向盘抖动车身抖动,转向系统抖动车身附件及电器车身共振,2020/8/28,信息审核
514928,一汽-大众奥迪,奥迪A6L,2014款 30 FSI CVT 豪华型,一汽大众奥迪A6L右后视镜无法自动打开,车身附件及电器后视镜故障服务态度不予索赔,2020/8/28,信息审核
514924,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸倒车影像蓝屏要求解决,车身附件及电器影音系统故障,2020/8/28,处理反馈
514923,众泰汽车,芝麻,2017款 标准型,众泰芝麻动力电池故障车辆无法行驶,车身附件及电器动力电池故障,2020/8/28,信息审核
514920,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动发动机烧机油希望尽快处理,发动机烧机油,2020/8/28,信息审核
514916,宝沃汽车,宝沃BX5,2020款 20TGDI 自动 两驱先锋型,宝沃BX5行驶中下坡变速箱脱挡要求解决,变速器脱挡,2020/8/28,用户评分
514911,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱故障报警无法换挡提速,发动机故障灯亮变速器无法换挡变速器故障灯亮变速器无法加速变速器滑阀箱故障变速器跳挡,2020/8/28,处理反馈
514909,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L大修发动机后无法加速,发动机无法提速服务态度故意拖延人员技术查不出原因,2020/8/28,处理反馈
514907,东风日产,轩逸,2016款 1.6XL CVT 尊享版,东风日产轩逸变速箱无法换挡无法加速,变速器无法换挡变速器无法加速服务态度厂家不回复,2020/8/28,处理反馈
514902,东风雪铁龙,凯旋,2006款 2.0L 手动 精英型,东风雪铁龙凯旋加满汽油后漏油望厂家解决,车身附件及电器油箱有缺陷,2020/8/28,信息审核
514896,东风标致,标致308,2014款 乐享版 经典 1.6L 自动 风尚型,东风标致308油箱及汽油泵变形 油表显示不准,变速器顿挫车身附件及电器仪表故障车身附件及电器汽油泵故障车身附件及电器油箱有缺陷人员技术维修技术差,2020/8/28,信息审核
514895,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内出现的质量问题不予索赔,服务态度不予索赔,2020/8/28,信息审核
514890,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来倒车影像系统黑屏望厂家解决,车身附件及电器影音系统故障,2020/8/27,处理反馈
514889,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质豪版,长安马自达3昂克赛拉前挡风玻璃炸裂,车身附件及电器玻璃开裂服务态度不予索赔服务态度否认质量问题,2020/8/27,处理反馈
514882,奔驰（进口）,奔驰S级,2019款 S 450 L 臻藏版,进口奔驰S级发动机故障灯亮4S店未解决,发动机故障灯亮车身附件及电器仪表故障服务态度不解决问题服务态度态度蛮横,2020/8/27,信息审核
514881,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸主驾驶座椅上车时晃动,车身附件及电器座椅故障,2020/8/27,处理反馈
514878,北京汽车,威旺S50,2016款 1.5T CVT 乐动 豪华型,北汽威旺S50车身抖动 经销商出售问题车,变速器抖动销售欺诈出售问题车,2020/8/27,厂家受理
514877,上汽通用五菱,宝骏610,2014款 1.5L 自动 舒适型 CROSS,宝骏610底盘边梁生锈希望厂家处理问题,车身附件及电器车身生锈,2020/8/27,处理反馈
514876,北京汽车,威旺M50F,2017款 1.5L 标准型,北汽威旺M50F合格证日期与铭牌相差太大,销售欺诈出售问题车,2020/8/27,厂家受理
514873,一汽-大众,速腾,2018款 1.6L 自动 舒适型,一汽大众速腾方向盘掉皮存在质量问题,车身附件及电器部件异常磨损,2020/8/27,处理反馈
514868,上汽大众,途昂X,2020款 改款 380TSI 四驱 尊崇豪华版,上汽大众途昂X后视镜角度无法固定,车身附件及电器后视镜故障,2020/8/27,处理反馈
514866,吉利汽车,帝豪GL,2017款 1.8L 自动 精英型,吉利帝豪GL车门生锈 排气管生锈质量差,车身附件及电器车身生锈车身附件及电器排气管锈蚀,2020/8/27,处理反馈
514865,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉车灯亮度不达标无法登记,车身附件及电器车灯不亮,2020/8/27,信息审核
514860,众泰汽车,众泰Z700,2016款 1.8T DCT 典雅型,众泰Z700变速箱顿挫 转向异响4S店退网,发动机漏油变速器顿挫转向系统异响配件争议无零配件服务流程不完善服务网点少,2020/8/27,信息审核
514859,一汽-大众奥迪,奥迪Q2L,2020款 35TFSI 进取动感型,一汽大众奥迪Q2L发动机故障灯常亮,发动机故障灯亮,2020/8/27,信息审核
514858,东风日产,逍客,2019款 2.0L CVT 豪华版,东风日产逍客4S店销售低配当高配卖不解决,服务态度不解决问题销售欺诈低配当高配卖,2020/8/27,处理反馈
514851,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8大灯照射存在盲区中控异响,车身附件及电器中控台异响其他疑似设计缺陷,2020/8/27,信息审核
514845,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸车漆鼓包 车窗密封条开裂,车身附件及电器漆面起泡开裂车身附件及电器密封条损坏服务态度厂家不回复,2020/8/27,用户评分
514843,一汽大众,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7空调压缩机异响严重厂家不予解决,车身附件及电器空调问题服务态度不解决问题,2020/8/27,处理反馈
514842,一汽大众,捷达VS5,2019款 280TSI 自动 荣耀型,捷达VS5刹车异响要求厂家尽快解决,制动系统异响服务态度不解决问题,2020/8/27,处理反馈
514841,上汽斯柯达,速派,2019款 改款 TSI330 DSG 豪华版,斯柯达速派天窗胶条异响希望厂家处理,车身附件及电器天窗异响车身附件及电器密封条损坏服务态度厂家不回复,2020/8/27,处理反馈
514838,东风标致,标致308,2013款 1.6L 自动 优尚型,东风标致308变速箱异响无法加速要求解决,变速器异响变速器无法加速服务态度不予索赔,2020/8/27,信息审核
514832,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7后尾灯不亮要求厂家处理,车身附件及电器车灯不亮,2020/8/27,用户评分
514828,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国VI,江铃福特领界发动机无法启动故障灯亮,发动机故障灯亮发动机无法启动,2020/8/27,处理反馈
514826,一汽-大众奥迪,奥迪A6L,2017款 30 FSI CVT 舒适型,一汽大众奥迪A6L天窗漏水要求厂家处理,车身附件及电器天窗漏水,2020/8/27,信息审核
514823,一汽吉林,森雅R7,2016款 1.6L 手动 尊贵型,一汽吉林森雅R7导航黑屏要求厂家处理,车身附件及电器影音系统故障,2020/8/27,信息审核
514819,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A6L车身抖动发动机异响,发动机怠速不稳变速器异响车身附件及电器车身共振,2020/8/27,信息审核
514818,一汽奔腾,奔腾B50,2013款 1.6L 手动 舒适型,一汽奔腾B50车身多处出现严重生锈的现象,车身附件及电器车身生锈,2020/8/27,信息审核
514816,华晨宝马,宝马X3,2020款 xDrive28i 豪华套装,华晨宝马X3发动机抖动 车内按键失灵,发动机抖动车身附件及电器影音系统故障,2020/8/27,信息审核
514812,长城汽车,哈弗F5,2018款 1.5T i潮版,哈弗F5变速箱换挡顿挫 仪表上油耗不准确,变速器顿挫车身附件及电器仪表故障,2020/8/27,处理反馈
514810,华晨中华,中华V6,2018款 1.5T 手动 精英型,华晨中华V6经销商无配件导致无法更换,配件争议无零配件,2020/8/27,信息审核
514809,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7空调压缩机漏水转向异响,转向系统异响车身附件及电器空调问题,2020/8/27,信息审核
514798,上汽大通,上汽大通MAXUS G50,2019款 1.5T 自动 精英版 国VI,上汽大通MAXUS G50发动机抖动异响,发动机异响发动机抖动,2020/8/27,处理反馈
514797,广汽乘用车,传祺GA4,2018款 200T 自动 尊享版,广汽传祺GA4室内顶灯眼镜盒总成自然脱落,车身附件及电器部件开裂,2020/8/27,信息审核
514789,吉利汽车,帝豪GL,2019款 1.4T CVT 尊贵智享型,吉利帝豪GL变速箱挡杆振动承诺解决未兑现,变速器异响变速器抖动,2020/8/27,处理反馈
514788,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放前后护板有严重色差,车身附件及电器车身有色差,2020/8/27,信息审核
514787,一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放漆面鼓包开裂希望厂家处理,车身附件及电器漆面起泡开裂,2020/8/27,信息审核
514784,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来显示变速箱紧急模式维修未解决,变速器故障灯亮,2020/8/27,信息审核
514775,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾加速时异响4S店不处理,变速器异响,2020/8/27,处理反馈
514773,陆风汽车,陆风X5,2018款 1.5T 手动 创享版 Plus,陆风X5车身整体生锈存在质量问题,车身附件及电器车身生锈,2020/8/27,信息审核
514771,长安汽车,长安欧尚A600,2017款 1.5L 手动 豪华型,长安欧尚A600电池漏液车门生锈严重,车身附件及电器车身生锈车身附件及电器电瓶故障,2020/8/27,信息审核
514765,华晨宝马,宝马1系,2018款 改款 118i 运动型,华晨宝马1系座椅调节故障希望质保维修,车身附件及电器座椅故障,2020/8/27,信息审核
514764,东南汽车,翼神,2011款 1.8 手动 致尚版豪华型,东南三菱翼神无法换挡4S店拖延不处理,服务态度不解决问题配件争议无零配件,2020/8/27,处理反馈
514763,东风风行,菱智,2017款 1.5L 豪华型 7座 V3,东风风行菱智方向机漏油 售后无零件,转向系统漏油配件争议无零配件,2020/8/27,处理反馈
514762,众泰汽车,众泰Z700,2016款 1.8T 手动 豪华型,众泰Z700发动机车轮异响厂家无人处理,发动机异响前后桥及悬挂系统车轮异响,2020/8/27,信息审核
514756,一汽-大众,速腾,2017款 230TSI 自动 舒适型,一汽大众速腾行驶过程中变速箱有异响,变速器异响,2020/8/27,处理反馈
514753,华晨中华,中华V7,2018款 280T DCT 尊贵型 5座,华晨中华V7天窗漏水 顶棚脱落 售后无配件,车身附件及电器车身装饰脱落配件争议无零配件,2020/8/27,信息审核
514751,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商销售旧款车型不解决,服务态度不解决问题服务态度态度蛮横销售欺诈低配当高配卖,2020/8/27,用户评分
514749,东风日产,逍客,2016款 2.0L CVT 豪华版,东风日产逍客高速行驶过程中动力消失,变速器无法加速,2020/8/27,处理反馈
514743,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱无法提速动力消失,变速器无法加速变速器滑阀箱故障,2020/8/27,处理反馈
514736,吉利汽车,吉利icon,2020款 300T DCT 银河限量版,吉利icon售后维修导致线束损坏希望厂家处理,人员技术操作不规范人员技术粗心大意,2020/8/27,用户评分
514728,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德发动机抖动熄火 座椅生锈,发动机抖动发动机功率不足发动机熄火发动机怠速不稳车身附件及电器车身生锈车身附件及电器车内异响,2020/8/27,厂家受理
514725,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8发动机失缸 大灯转向盲区大,发动机抖动车身附件及电器灯组开关故障,2020/8/27,处理反馈
514722,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 红标,哈弗H6 Coupe前大灯进水厂家不予解决,车身附件及电器车灯进水,2020/8/27,处理反馈
514716,一汽-大众,探岳,2019款 380TSI 四驱 尊贵型 国VI,一汽大众探岳4S店退保险要求缴纳补偿金,服务收费变相收费,2020/8/27,处理反馈
514714,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉新车发动机异响不解决问题,发动机异响发动机噪音大服务态度不解决问题服务态度互相推诿服务态度否认质量问题,2020/8/27,信息审核
514712,一汽-大众奥迪,奥迪A3,2014款 Sportback 1.4T 双离合 进取型,一汽大众奥迪A3轮速传感器多次损坏,制动系统故障灯亮配件争议配件质量差,2020/8/27,信息审核
514711,一汽-大众,宝来,2018款 1.5L 自动 时尚型,一汽大众宝来锦湖轮胎开裂希望厂家处理,轮胎开裂,2020/8/27,用户评分
514709,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳定损更换右后轮眉厂家无货,配件争议无零配件,2020/8/27,处理反馈
